,0,1,2,3
2393,Booti Call, BLACKstreet,spotify:track:7ABJ2azouB9EwEYzL9Tljt,1994
2394,I Got Cha Opin, Black Moon,spotify:track:4sAHukt0TkE08mpMNgNwcp,1994
2395,"The More You Ignore Me, The Closer I Get", Morrissey,spotify:track:24ECIWIixkpUizwCxbxxI4,1994
2396,Its Over Now, Cause And Effect,spotify:track:1iIrO3ppeu6a0JHKFz9F8v,1994
2397,Completely, Michael Bolton,spotify:track:1ZnwFwzQoFno1T2aYzVDmr,1994
2398,Bucktown, Smif-N-Wessun,spotify:track:5fyRqeycMofUoGmDis5Gu6,1994
2399,C.R.E.A.M. (Cash Rules Everything Around Me), Wu-Tang Clan,spotify:track:61QU5MPwOReHIAfnY4vh54,1994
2400,Thats The Way Love Goes, Janet Jackson,spotify:track:29rQJydAlO0uMyWvRIZxQg,1993
2401,Weak, SWV,spotify:track:71EHOyEOhNx1SzTebRRyng,1993
2402,Knockin Da Boots, H-Town,spotify:track:6x53SJOV1PAZ8ZUwH4NFXQ,1993
2403,Freak Me, Silk,spotify:track:5CdJveJgiGXoGwDFqF6afp,1993
2404,Have I Told You Lately, Rod Stewart,spotify:track:6mIY6O7uNGgVqOoX70UAYh,1993
2405,Show Me Love, Robin S.,spotify:track:4t0UsYzmmmZRMTWn77jiGF,1993
2406,Come Undone, Duran Duran,spotify:track:0yfNXxlyXdmP0ue1iJijx1,1993
2407,Whoomp! (There It Is), Tag Team,spotify:track:2b4qmlGvB7msgrK5vgGl9m,1993
2408,Dre Day, Dr. Dre,spotify:track:2swCZgyEIdacDpUNcSQMQI,1993
2409,"Bad Boys (Theme From ""Cops"")", Inner Circle,spotify:track:0qeKzbUsW0V4ZWRJrHNiD3,1993
2410,Ill Never Get Over You (Getting Over Me), Expose,spotify:track:5jPgOjFotU05FAgA8Y9IFL,1993
2411,Looking Through Patient Eyes, P.M. Dawn,spotify:track:2cRlkoXssyeXXHjjaF06Za,1993
2412,"Cant Help Falling In Love (From ""Sliver"")", UB40,N/A,1993
2413,Im So Into You, SWV,spotify:track:5A0aUvnfAEcmUx3hoXjI8R,1993
2414,Dazzey Duks, Duice,spotify:track:6z3lO80S46Qba0hdH185NF,1993
2415,"Nuthin But A ""G"" Thang", Dr. Dre,spotify:track:4kUV72Pe5TK6sVMDJI6CqA,1993
2416,More And More, Captain Hollywood Project,spotify:track:0JXXm3RqxU8EKzX4P8M0n3,1993
2417,"Love Is (From ""Beverly Hills, 90210"")", Vanessa Williams/Brian McKnight,N/A,1993
2418,"Girl, Ive Been Hurt", Snow,spotify:track:2VdbkEyvcnNvTU4Tn1tL2v,1993
2419,Whats Up, 4 Non Blondes,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,1993
2420,Dont Walk Away, Jade,spotify:track:7tsRp7QKUBp6hc9bth0h7x,1993
2421,Lately, Jodeci,spotify:track:5hIljtQ1fRvDRc1aHdhwWK,1993
2422,"Whoot, There It Is", 95 South,spotify:track:1PJM5F9oC7AKcdYROTv8EX,1993
2423,Ditty, Paperboy,spotify:track:2JaHnS7CcIPoc7Il4BkqdR,1993
2424,Three Little Pigs, Green Jelly,spotify:track:6DiPkm7C3LD9XsJWTGPFgv,1993
2425,Cant Get Enough Of Your Love, Taylor Dayne,spotify:track:4tmzLB4caxMSZDgWujR7sH,1993
